Asia-Afrika	아시아-아프리카
AAI (Asosiasi Advokat Indonesia)	인도네시아 변호사 협회
AAU (Asosiasi Advokat Indonesia)	공군사관학교
Anggaran Belanja	예산
aba [1], abba	아버지
aba-aba	명령, 지휘, 신호
mengaba-abakan	에게 명령을 하다
abab	심호흡 하다, 숨을 내쉬다
abaca	마닐라 바나나, 세르비아(인)
abad, abat	일세기, 100년, 영원, 영구
abad emas	황금기
abad kedua puluh	20세기
abad pertengahan	중세기
berabad-abad	수 세기 동안
abadi, selama-lamanya, tetap, kekal	영원한, 영구의, 무한의
keabadian, pengabadian	영구, 영원, 항구불변
mengabadikan, memperabdikan	영원하게 하다, 영원히 전하다
pengabadian	영속시키다
terabadikan	방치되어 존속되어 지다
abadiah, abadiat	영원, 항구, 지속
abah, seorang bapa	아버지
abah	방향
mengabah, mengabahkan	로 향하다
abah-abah	연장, 도구
abah-abah kuda	마구
abah-abah tenun	직조기, 베틀
abai, abah	게으른, 태만한, 중요치 않은
abaikan saja	무시하라, 잊어 버려라
mengabaikan	무시하다, 소홀히 하다
pengabai	부주의한, 무관심한 사람
pengabaian	태연한, 냉정한
terabaikan	경멸 당한
tidak abai dari	지속적으로 쉬지 않고
abaimana, abimana, dubur	궁둥이, 음부
abalone	전복, 바다 산호
abang, kakak laki-laki	형, 누나, 친구, 친애하는 사람
abang-abang	베짝꾼
abang tua	진홍색
abar	제동기, 브레이크
mengabar	방해하다, 막다, 차단하다
abau, kura-kura	거북이
abdas	목욕재계하다
abdel	대수도원, 대교회당
abdi	하인, 노예, 종
mengabdi	섬기다
melayani	에 봉사하다
mengabdikan	정복하다
pengabdi	공무원, 관 공리, 역원, 임원
pengabdian	봉사, 헌신, 순종, 종속
abelur, hablur	수정
aben [abén], mengaben	시체를 화장하다
mengabenkan	시체를 불태워 재로 만들다, 화장하다
pengabenan	시체의 화장
aberasi	착오, 탈선, 정신 이상
abet [1], rupa	모양, 모습, 태도, 행위
bisa mengabet	스스로 할 수 있는
abet [2]	진정시킬(완화할) 수 있는
abib	할아버지, 조부, 조상(남성)
abid [1], kekal	영구한, 지속적인
abid [2]	신앙심이 깊은, 독실한
abidin	충실한, 성실한, 믿을 수 있는
abilah	천연두, 종두
abimana, abaimana	궁둥이, 음부
abis, habis	끝나다, 끝이 되어, 그래서, 그리고
abjad	문자, 자모, 알파벳
disusun menurut abjad	알파벳 순서로 정리되다
mengabjadkan	자모 순서로 정리하다
menurut abjad	알파벳 순위
ABN (Anggaran Belanja Negara)	국가 예산
abnormal	비정상적인, 이상한
Keadaan yang abnormal	비정상적인 상태
keabnormalan	이상, 변칙, 변태, 이상물(物)
abolisi	(법률·습관 등의) 폐지, 철폐, 전폐
abon	고기를 쪄서 가루처럼 잘게 찢은 후 양념해서 튀긴 반찬shredded
abone [aboné]	기부자,예약자, 응모자, 신청자,기명자
abonemen [abonemén]	(예약) 구독료, 예약금
berabonemen	구독하다, 정기권을 끊다
aborsi	임신 중절, 낙태
abrak	운모, 돌 비늘
ABRI	인도네시아 군인
abrikos	살구(나무), 살구 빛(의)
abrit-abritan, aprit-apritan	도망가다
absah, sah	합법적인, 유효한, 정당한
keabsahan	정당성, 타당성, 적법, 합
mengabsahkan	보증하다, 승인하다
pengabsahan	보증, 승인, 배서, 적법화
